,home_team,away_team,neutral,match_results,home_recent_wins,away_recent_wins,home_recent_goals_scored,away_recent_goals_scored,home_recent_goals_conceded,away_recent_goals_conceded,home_win_rate,away_win_rate,home_average_goal_difference,away_average_goal_difference
48498,Mauritius,Cape Verde,0,0,2.0,1.0,7.0,3.0,7.0,10.0,0.2608695652173913,0.32653061224489793,-0.8695652173913043,-0.7755102040816326
48497,Cameroon,Eswatini,0,1,5.0,1.0,14.0,4.0,4.0,10.0,0.8717948717948718,0.13333333333333333,1.5128205128205128,-1.9333333333333333
48496,Angola,Libya,0,0,4.0,1.0,9.0,3.0,3.0,7.0,0.8,0.19607843137254902,1.4,-1.0588235294117647
48494,Brazil,Chile,0,1,4.0,0.0,8.0,0.0,2.0,11.0,0.8681318681318682,0.32857142857142857,1.7912087912087913,-0.6428571428571429
48493,Uruguay,Peru,0,1,3.0,0.0,10.0,0.0,4.0,9.0,0.7571428571428571,0.25,1.1428571428571428,-1.0789473684210527
48491,Argentina,Venezuela,0,1,5.0,0.0,15.0,4.0,1.0,14.0,0.8901098901098901,0.21212121212121213,1.7252747252747254,-1.4090909090909092
48490,Colombia,Bolivia,0,1,4.0,1.0,14.0,3.0,2.0,16.0,0.6883116883116883,0.029411764705882353,0.961038961038961,-2.4705882352941178
48500,São Tomé and Príncipe,Equatorial Guinea,1,0,0.0,2.0,0.0,6.0,17.0,7.0,0.3157894736842105,0.1794871794871795,-1.3157894736842106,-1.4615384615384615
48535,Switzerland,Kosovo,0,1,5.0,2.0,13.0,5.0,0.0,7.0,0.8,0.21428571428571427,1.62,-1.0714285714285714
48537,Greece,Belarus,0,1,3.0,1.0,12.0,3.0,3.0,10.0,0.6666666666666666,0.20833333333333334,0.65,-1.3125
48538,Iceland,Azerbaijan,0,1,3.0,1.0,10.0,4.0,3.0,17.0,0.5686274509803921,0.0625,0.3137254901960784,-2.375
48539,Ukraine,France,1,0,3.0,4.0,5.0,8.0,6.0,3.0,0.7142857142857143,0.7719298245614035,1.0204081632653061,1.0
48543,Montenegro,Czech Republic,0,0,4.0,2.0,8.0,9.0,4.0,10.0,0.5384615384615384,0.6119402985074627,0.15384615384615385,0.6567164179104478
48541,Moldova,Israel,0,0,1.0,3.0,5.0,7.0,16.0,6.0,0.21739130434782608,0.5106382978723404,-1.1521739130434783,0.0851063829787234
48544,Bermuda,Jamaica,0,0,3.0,2.0,13.0,6.0,7.0,10.0,0.75,0.32727272727272727,2.6666666666666665,-0.7818181818181819
48533,Namibia,Malawi,1,0,1.0,1.0,4.0,2.0,8.0,10.0,0.5,0.10204081632653061,-0.16666666666666666,-1.6938775510204083
48540,Italy,Estonia,0,1,5.0,1.0,15.0,5.0,4.0,16.0,0.9117647058823529,0.22,1.8970588235294117,-1.98
48532,Uganda,Mozambique,0,1,3.0,3.0,5.0,7.0,4.0,9.0,0.7954545454545454,0.30952380952380953,1.0227272727272727,-1.0714285714285714
48542,Faroe Islands,Croatia,0,0,1.0,3.0,3.0,11.0,10.0,5.0,0.1509433962264151,0.6825396825396826,-1.8679245283018868,0.9365079365079365
48530,Ivory Coast,Burundi,0,1,5.0,2.0,12.0,7.0,1.0,12.0,0.8571428571428571,0.21212121212121213,1.948051948051948,-1.0606060606060606
48520,Djibouti,Burkina Faso,1,0,0.0,2.0,2.0,6.0,15.0,8.0,0.16666666666666666,0.4,-2.3333333333333335,-0.2545454545454545
48521,Egypt,Ethiopia,0,1,5.0,1.0,14.0,4.0,1.0,10.0,0.8928571428571429,0.1388888888888889,1.8333333333333333,-1.7222222222222223
48522,South Sudan,DR Congo,0,0,1.0,3.0,8.0,6.0,13.0,2.0,0.3157894736842105,0.39622641509433965,-0.5789473684210527,-0.1509433962264151
48523,Mauritania,Togo,0,1,2.0,1.0,2.0,3.0,4.0,9.0,0.5333333333333333,0.2222222222222222,0.16666666666666666,-0.9814814814814815
48531,Somalia,Guinea,1,0,1.0,2.0,2.0,5.0,10.0,4.0,0.16666666666666666,0.38596491228070173,-1.6666666666666667,-0.3684210526315789
48525,Benin,Zimbabwe,1,1,4.0,1.0,8.0,4.0,4.0,8.0,0.7692307692307693,0.2978723404255319,0.8974358974358975,-0.7021276595744681
